"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"WASH7P"	0.808955179062816	0.713981464489286	0.112233408533079	-0.366514138516062	-0.0411351310412228	340.27254154526
"LOC100996442"	0.0952754175005578	0.0445759721042308	0.288125965860767	-2.00863391236009	-0.578739586059443	43.8515981117799
"LOC729737"	0.0896326301605957	0.0415100931792722	0.280626645856201	-2.03839853015604	-0.572028942435898	46.6772744085035
"DDX11L17"	0.617292901805195	0.480978125695316	0.434219889381411	-0.704730244770298	-0.306007888927893	19.3141764635509
"WASH9P"	0.748676381447353	0.63555523540548	0.102183655146738	-0.473922413508436	-0.048427124468256	388.814811927229
"LOC100132287"	0.190158987452098	0.102903705872893	0.234110715885138	-1.63093656240878	-0.381819726188764	72.8056193033815
"MIR12136"	0.0808992025235895	0.0366261829368798	0.116621653171963	-2.08990668530993	-0.243728372615981	18859.9554776274
"LOC100133331"	0.239380792869193	0.13714756068277	0.176187117536427	-1.48649756414473	-0.261901721051581	127.937293905323
"LOC107984841"	0.394569103516216	0.261652770878661	0.392310664109828	-1.12249326192124	-0.440366077043127	27.072005030516
"LOC107984847"	0.349293851479073	0.222397548640091	0.363429379945427	-1.22017762063157	-0.443448396089418	32.7431295433622
"LOC100288069"	0.281523163798459	0.168240567062215	0.311195196103623	-1.37787926740052	-0.428789408825822	36.9135224191537
"LINC01409"	0.330738911756587	0.206845014817244	0.530573529351258	1.26228844006342	0.669736832703745	14.0330497673638
"LINC00115"	0.0190176184179773	0.0068445979901102	0.391121678769187	2.7043120426168	1.05771506602401	25.7957548796133
"LINC01128"	0.966942328174031	0.946132424586438	0.0989219306021829	0.067564363208792	0.0066835972485208	447.965874629153
"LOC284600"	0.00814119657260097	0.00262867336502973	0.207136036193043	-3.00812229076648	-0.623090527693307	95.2892439168611
"LINC02593"	0.00154609455136998	0.000415629524184701	0.143257324383075	3.52995552794235	0.505691984124267	200.997440821434
"LOC107985728"	2.51747546498193e-12	2.35072519255125e-13	0.130754297744869	7.3271648970541	0.958058300575161	297.519748288168
"SAMD11"	2.39588417996574e-29	9.75989514691444e-31	0.0657426021296682	11.5259768174675	0.757747708066546	1803.00742720762
"NOC2L"	0.0868064221402849	0.0399242252600321	0.0473277907926532	2.05453204384383	0.0972364627478428	4387.91362132769
"KLHL17"	0.140176046335472	0.0708266781380505	0.0996750950436114	-1.80658712703439	-0.180071743591718	447.59573700166
"PLEKHN1"	8.78880627590705e-24	4.52086250854826e-25	0.107307308797744	10.3426033597399	1.10983693249619	385.282038448511
"PERM1"	2.21905946362862e-08	2.86091814209969e-09	0.256675903580373	5.93938584052545	1.52449722732934	71.9396820334724
"HES4"	0.00201878123794618	0.000558022750313088	0.101461583890297	3.45123727539121	0.350168000342426	507.117362816064
"ISG15"	0.00261995273200134	0.000745655743962812	0.065211593784081	3.37221736526206	0.219907668975094	1906.54826526845
"AGRN"	4.98948182659746e-08	6.66426721337704e-09	0.0505080230795218	-5.79917320555488	-0.29290477410831	11986.99208409
"LOC100288175"	6.83753681969701e-09	8.38217122274875e-10	0.218138521383513	6.13751612784601	1.33882869309579	89.221392987322
"LOC112267874"	0.046452805127564	0.0190701790503482	0.384885161596233	2.34415627652254	0.9022309672962	25.4422993460468
"LOC105378948"	1.17481056367701e-06	1.82832419946458e-07	0.221557360149523	5.21599569666258	1.15564223710383	82.1329108719452
"C1orf159"	0.604041256603865	0.466991542128407	0.10640839463947	-0.72738271176691	-0.0773996266476208	515.426318677429
"SDF4"	0.494620487452537	0.354415444566821	0.0550227480219536	0.926058759479443	0.0509542977763604	5056.03493639577
"B3GALT6"	0.915647772510623	0.86284790095647	0.0860839766216847	-0.172750049984719	-0.0148710112642794	1149.19537007095
"C1QTNF12"	0.682162256129292	0.554654944234433	0.537627661687406	-0.590799240075622	-0.317630013968553	13.3314666848176
"UBE2J2"	0.185247013538373	0.0996386765332264	0.0708736014382261	1.64660784687625	0.116701028264563	1503.93353558069
"LINC01786"	0.0935530964340849	0.0436373368503224	0.334985374205008	-2.01755778815895	-0.675852350646653	38.1466047621885
"SCNN1D"	2.65026989622704e-06	4.34017332975749e-07	0.185846747115735	-5.05339835926131	-0.939157646948707	119.90399894923
"ACAP3"	7.6696634053861e-08	1.03990467075704e-08	0.0734238808383814	-5.72408860910286	-0.420284799943104	1301.29351380063
"PUSL1"	0.520967552951612	0.380235478225918	0.103287175212363	0.877462500790774	0.0906306230614545	432.286368295091
"INTS11"	0.404864263615918	0.270592553300186	0.0627225683775161	-1.10169899668302	-0.0691013906508917	2030.47356469038
"CPTP"	0.00191274335387197	0.000525369904984218	0.075153605736929	3.46747638339842	0.260593353020037	1032.85407725032
"TAS1R3"	0.57629399215219	0.437357827932678	0.290569288303802	0.776662650646962	0.225674313650633	52.6833386080365
"DVL1"	3.71718364768809e-31	1.42492378129036e-32	0.0610744757959636	11.8844957562074	0.725839348409719	2970.83083764095
"MXRA8"	0.0014851556042725	0.000397382321898938	0.138297441550811	3.54181616106828	0.489824113519058	226.99575448205
"AURKAIP1"	0.332513637940168	0.20840886453761	0.0613086440830615	-1.25795269544008	-0.0771233740780638	2829.64056488617
"CCNL2"	0.995767276989807	0.992896425475041	0.0498284800599352	-0.00890312799496866	-0.000443629335768347	2842.74707510119
"MRPL20-AS1"	0.899413248977112	0.841361238913717	0.0890195877484154	-0.200152597186339	-0.0178175016883025	550.904768635999
"MRPL20"	0.626277636572831	0.491467040637152	0.0602300925507427	-0.687977356729059	-0.0414369398686065	1809.09258316099
"VWA1"	0.0552591380622925	0.0233945337954979	0.076177353865372	-2.26692948343571	-0.172688689447527	1034.53631004333
"ATAD3C"	0.913950538748006	0.860245804134123	0.332911871409027	0.176061274460486	0.0586128883632989	31.8459753960936
"ATAD3B"	0.864013751227863	0.790270864034659	0.148952536101693	0.265958897852105	0.0396152523338822	197.741285964874
"ATAD3A"	0.28486421781005	0.170906086445641	0.0752939041794501	1.3692981807674	0.103099806015796	1267.92322830563
"SSU72"	0.000286977884688702	6.56916557972499e-05	0.057944087839108	-3.99137375359047	-0.231276511376756	4178.88619771716
"FNDC10"	0.726750809109187	0.608180557601793	0.101831771269264	-0.512672316623845	-0.052206330082523	391.873845913601
"LOC105378586"	0.762700180003444	0.653165888876427	0.370309217983547	0.449368447214186	0.166405278274366	27.185560338067
"MIB2"	0.000288500066140947	6.60558497968105e-05	0.0950412885305811	-3.99006263289263	-0.379220693947839	575.566681029122
"MMP23B"	0.55866204205843	0.419034664430437	0.257874879013482	-0.808097139080812	-0.208387951971605	61.2704791198718
"CDK11B"	1.69285250398881e-05	3.10875496691661e-06	0.0659174431994693	-4.66350045568705	-0.30740602639845	1570.38812859788
"SLC35E2B"	7.04549151760952e-07	1.06968798180207e-07	0.0574871022616452	-5.31446898568182	-0.305513422046233	1806.74067711208
"CDK11A"	1.98887210380397e-06	3.1940549649361e-07	0.0753725311601554	-5.11162137881474	-0.38527584165363	1130.96048177817
"SLC35E2A"	0.0278532976392897	0.0105356737152493	0.0894808383211838	-2.55773370542469	-0.228868156163749	686.395745255738
"LOC112268218"	0.0676632148422023	0.0296620045188227	0.16931544836937	-2.17457466578446	-0.368189084549968	143.086460563584
"NADK"	0.00305124812492229	0.000880734865305478	0.0675123102821664	-3.32608999722109	-0.2245520199188	1853.35897408034
"GNB1"	2.53787336592427e-07	3.63087873025806e-08	0.0393509742625621	5.50792507450598	0.216742217847005	15578.5804970384
"TMEM52"	0.0496495713171636	0.0205967232728931	0.491838696233787	-2.31529627879399	-1.13875230315698	16.2399470628805
"GABRD"	0.126979228413596	0.0627858304638841	0.589624168423985	-1.8607051197467	-1.0971167089129	12.7797378808777
"PRKCZ"	0.00804656292267814	0.00259284485375	0.0942058242670264	-3.01229032797594	-0.283775293278565	530.442564470112
"PRKCZ-AS1"	0.92070107465829	0.870350405884773	0.386823429248987	0.16321341285252	0.0631347720590424	25.5143264971432
"FAAP20"	0.933173179314475	0.890878976353136	0.0849821645951949	0.137192073180146	0.0116588793441512	869.855388079562
"LOC112268219"	0.878899751691889	0.810797379188706	0.206320855142067	0.239397486044971	0.0493926940396595	97.2065021039824
"LOC105378593"	0.727830670098455	0.60955272141648	0.581483526670262	-0.510712021903393	-0.296970627609285	11.3177365834129
"SKI"	1.83096011155592e-140	1.13978841652037e-142	0.0615989343257538	25.4311986435128	1.56653473506695	3092.24915013178
"MORN1"	0.73780859475949	0.622031756837716	0.149562409269962	0.492972870288983	0.0737302101851488	173.909928840805
"LOC100129534"	0.00100226384132065	0.000258269156729764	0.239060712825566	-3.65391762666746	-0.873508152437025	75.5965982944761
"RER1"	0.129169829092151	0.0641440739236621	0.0515325083271421	-1.85117713594155	-0.095395801172923	4217.40478591777
"PEX10"	0.205130018392866	0.112987849916936	0.0689777788142219	1.58490530991282	0.109323247908652	1058.71645681279
"PLCH2"	0.51784080156606	0.377189889809953	0.287757898657769	0.883085848041798	0.254114927966921	43.5514184168058
"PANK4"	0.000378472337451735	8.8743527385887e-05	0.0894172254465309	-3.91947102911496	-0.350468224641519	583.804339293376
"PRXL2B"	0.017432101237606	0.00620446873077684	0.0738851920501276	-2.73677513589759	-0.202207156513808	984.564318471741
"MMEL1"	0.0739624485354165	0.0329404101051088	0.19433420974114	-2.13280884836505	-0.414477722075934	108.605260180387
