"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0010247",540.09643225565,0.252976282535537,0.194921297004772,1.29783808348733,0.194342979990536,0.493373149872442
"FBgn0086378",679.227248082414,0.161330582979788,0.198647237288577,0.812146119834635,0.416707791982101,0.710884563485732
"FBgn0263977",1194.58622724334,0.225998819095643,0.135844595644443,1.66365704887641,0.096180984225557,0.323200671297247
"FBgn0069923",20.4813665705792,0.84240919546499,0.491678546953175,1.71333323506835,0.0866512514201419,0.302137801375877
"FBgn0039955",743.580753824499,-0.149272907672314,0.147678009241614,-1.01079983701629,0.312112241153902,0.620753254680243
"FBgn0259821",257.131844810788,1.08870706455135,0.161214198205408,6.7531711019906,1.4464818490879e-11,6.97070472592245e-10
"FBgn0027341",17.2329473453985,0.507776709715952,0.524573475085537,0.967980147362872,0.333054284644273,0.643344200898819
"FBgn0058198",50.4340763202626,-0.381051832124619,0.31004434982152,-1.22902362950325,0.219062946702076,0.522587235376603
"FBgn0037213",778.776241522756,0.469528864882862,0.134387657227196,3.49383920049352,0.000476127703676281,0.00567879351294586
"FBgn0053294",86.8705945727089,-0.0240805504729953,0.296162865314079,-0.0813084734558401,0.935196635461084,0.975567361090973
"FBgn0037215",7201.46500976993,-0.214581516510689,0.0903902526029743,-2.37394531303288,0.0175991568647858,0.100289932181627
"FBgn0037217",75.367153228568,-0.236298893907458,0.255539343341396,-0.924706508272453,0.35511859311122,0.663175578779363
"FBgn0037218",3164.96239388017,-0.0336719704309683,0.092838146601585,-0.362695418462753,0.71683242255205,0.888682382203109
"FBgn0051516",23.8446517771058,-0.151787722528261,0.429550306023474,-0.35336425186941,0.723815382211433,0.892570997066422
"FBgn0261436",1092.99653646066,-0.0946851676515143,0.10810893815262,-0.875831076222811,0.38112187325321,0.688061845901604
"FBgn0037220",2219.29076565865,-0.0900889492487948,0.0959118926879604,-0.939288619211071,0.347582580180292,0.657096592055124
"FBgn0015331",1246.33248024287,-0.0142935960054091,0.103463327399629,-0.138151327283336,0.890120821339786,0.95689347565364
"FBgn0010225",19222.0324951381,-0.5074642035433,0.0894484609745966,-5.67325807525542,1.40106912845269e-08,4.58067189172946e-07
"FBgn0037222",461.115767063444,-0.658424029194245,0.156545696191572,-4.20595420514468,2.5998287828341e-05,0.000451557761718498
"FBgn0085334",75.17372070507,-1.2290243496249,0.365938757355731,-3.3585520115601,0.000783519748818699,0.00849441371378608
"FBgn0037223",37.0249866260786,-2.08338047425818,0.396566076214772,-5.25355192795126,1.49193585858937e-07,4.27431933094832e-06
"FBgn0037225",113.417467657331,0.203561636164052,0.225168576329359,0.904041049965595,0.365973634889283,0.672349535934763
"FBgn0250821",76.6384487912682,0.0992773350721048,0.27209852080789,0.364858047656194,0.715217371732839,0.88810950672277
"FBgn0041621",13.0636891650168,-0.362318297647532,0.630338659393771,-0.574799422894341,0.565426957101749,0.808901527956456
"FBgn0037228",18014.4476649023,0.232321680327499,0.0927320008542667,2.5053021415186,0.0122346829489004,0.0770702062975807
"FBgn0037229",55.5343935431381,0.0157943226802857,0.304480678924374,0.0518729882502945,0.958629897543438,0.984976270128129
"FBgn0041605",76.7676907771171,0.739045141099329,0.310309503204289,2.38163876216445,0.0172357957590756,0.0987593328133425
